Område- och stationsnummer;Stationens namn;Datum för mätning;Grundvattennivå (cm u. röröverkant);Grundvattennivå (m ö.h.);Grundvattennivå (m under markyta);Startdatum för mätning;Slutdatum för mätning;Jordart;Akvifertyp;Topografiskt läge;Referensnivå för röröverkant (m ö.h.);Rörhöjd ovan mark (m);Total rörlängd (m);Metod för mätning;Kommunkod;EUCD för grundvattenförekomst;N;E;Nivåmätningskvalitet
52_2;Kungsbacka_2;2015-09-12 14:00:00;218.00;51.95;1.03;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-12 18:00:00;217.00;51.96;1.02;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-12 22:00:00;217.00;51.96;1.02;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-13 02:00:00;217.00;51.96;1.02;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-13 06:00:00;216.00;51.97;1.01;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-13 10:00:00;218.00;51.95;1.03;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-13 14:00:00;218.00;51.95;1.03;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-13 18:00:00;217.00;51.96;1.02;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-13 22:00:00;217.00;51.96;1.02;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-14 02:00:00;217.00;51.96;1.02;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-14 06:00:00;217.00;51.96;1.02;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-14 10:00:00;218.00;51.95;1.03;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-14 14:00:00;219.00;51.94;1.04;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-14 18:00:00;219.00;51.94;1.04;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-14 22:00:00;219.00;51.94;1.04;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-15 00:00:00;216.00;51.97;1.01;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-15 02:00:00;217.00;51.96;1.02;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-15 06:00:00;215.00;51.98;1.00;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-15 10:00:00;214.00;51.99;0.99;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-15 14:00:00;215.00;51.98;1.00;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-15 18:00:00;215.00;51.98;1.00;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-15 22:00:00;214.00;51.99;0.99;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-16 02:00:00;213.00;52.00;0.98;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-16 06:00:00;206.00;52.07;0.91;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-16 10:00:00;203.00;52.10;0.88;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-16 14:00:00;203.00;52.10;0.88;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-16 18:00:00;202.00;52.11;0.87;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-16 22:00:00;200.00;52.13;0.85;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-17 02:00:00;198.00;52.15;0.83;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-17 06:00:00;196.00;52.17;0.81;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-17 10:00:00;196.00;52.17;0.81;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-17 14:00:00;197.00;52.16;0.82;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-17 18:00:00;197.00;52.16;0.82;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-17 22:00:00;197.00;52.16;0.82;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-18 02:00:00;196.00;52.17;0.81;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-18 06:00:00;194.00;52.19;0.79;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-18 10:00:00;194.00;52.19;0.79;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-18 14:00:00;195.00;52.18;0.80;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-18 18:00:00;195.00;52.18;0.80;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-18 22:00:00;195.00;52.18;0.80;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-19 02:00:00;195.00;52.18;0.80;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-19 06:00:00;195.00;52.18;0.80;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-19 10:00:00;197.00;52.16;0.82;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-19 14:00:00;198.00;52.15;0.83;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-19 18:00:00;199.00;52.14;0.84;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-19 22:00:00;198.00;52.15;0.83;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-20 02:00:00;198.00;52.15;0.83;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-20 06:00:00;198.00;52.15;0.83;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-20 10:00:00;199.00;52.14;0.84;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-20 14:00:00;201.00;52.12;0.86;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-20 18:00:00;201.00;52.12;0.86;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-20 22:00:00;201.00;52.12;0.86;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-21 02:00:00;201.00;52.12;0.86;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-21 06:00:00;200.00;52.13;0.85;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-21 10:00:00;200.00;52.13;0.85;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-21 14:00:00;200.00;52.13;0.85;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-21 18:00:00;200.00;52.13;0.85;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-21 22:00:00;200.00;52.13;0.85;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-22 02:00:00;197.00;52.16;0.82;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-22 06:00:00;193.00;52.20;0.78;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-22 10:00:00;190.00;52.23;0.75;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-22 14:00:00;187.00;52.26;0.72;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-22 18:00:00;186.00;52.27;0.71;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-22 22:00:00;182.00;52.31;0.67;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-23 02:00:00;180.00;52.33;0.65;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-23 06:00:00;180.00;52.33;0.65;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-23 10:00:00;181.00;52.32;0.66;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-23 14:00:00;181.00;52.32;0.66;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-23 18:00:00;182.00;52.31;0.67;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-23 22:00:00;182.00;52.31;0.67;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-24 02:00:00;183.00;52.30;0.68;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-24 06:00:00;183.00;52.30;0.68;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-24 10:00:00;183.00;52.30;0.68;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-24 14:00:00;183.00;52.30;0.68;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-24 18:00:00;184.00;52.29;0.69;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-24 22:00:00;180.00;52.33;0.65;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-25 02:00:00;177.00;52.36;0.62;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-25 06:00:00;176.00;52.37;0.61;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-25 10:00:00;177.00;52.36;0.62;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-25 14:00:00;179.00;52.34;0.64;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-25 18:00:00;179.00;52.34;0.64;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-25 22:00:00;180.00;52.33;0.65;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-26 02:00:00;180.00;52.33;0.65;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-26 06:00:00;181.00;52.32;0.66;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-26 10:00:00;182.00;52.31;0.67;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-26 14:00:00;184.00;52.29;0.69;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-26 18:00:00;185.00;52.28;0.70;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-26 22:00:00;185.00;52.28;0.70;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-27 02:00:00;185.00;52.28;0.70;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-27 06:00:00;185.00;52.28;0.70;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-27 10:00:00;186.00;52.27;0.71;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-27 14:00:00;188.00;52.25;0.73;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-27 18:00:00;189.00;52.24;0.74;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-27 22:00:00;189.00;52.24;0.74;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-28 02:00:00;189.00;52.24;0.74;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-28 06:00:00;189.00;52.24;0.74;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-28 10:00:00;190.00;52.23;0.75;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-28 14:00:00;192.00;52.21;0.77;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-28 18:00:00;192.00;52.21;0.77;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-28 22:00:00;192.00;52.21;0.77;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-29 02:00:00;192.00;52.21;0.77;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;2015-09-29 06:00:00;192.00;52.21;0.77;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;logger;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
