Område- och stationsnummer;Stationens namn;Datum för mätning;Grundvattennivå (cm u. röröverkant);Grundvattennivå (m ö.h.);Grundvattennivå (m under markyta);Startdatum för mätning;Slutdatum för mätning;Jordart;Akvifertyp;Topografiskt läge;Referensnivå för röröverkant (m ö.h.);Rörhöjd ovan mark (m);Total rörlängd (m);Metod för mätning;Kommunkod;EUCD för grundvattenförekomst;N;E;Nivåmätningskvalitet
52_2;Kungsbacka_2;1971-03-31 00:00:00;167.00;52.46;0.52;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1971-04-30 00:00:00;169.00;52.44;0.54;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1971-06-01 00:00:00;201.00;52.12;0.86;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1971-07-05 00:00:00;219.00;51.94;1.04;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1971-08-05 00:00:00;241.00;51.72;1.26;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1971-09-16 00:00:00;245.00;51.68;1.30;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1971-10-15 00:00:00;219.00;51.94;1.04;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1971-11-09 00:00:00;159.00;52.54;0.44;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1971-12-16 00:00:00;163.00;52.50;0.48;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1972-01-26 00:00:00;188.00;52.25;0.73;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
