Timestamp;Date;Time;Date_time;ms;LEVEL;TEMPERATURE;CONDUCTIVITY;relative level
43359,38;2018-09-16;09:00:00;2018-09-16 09:00;0;4,404;6,5;110;0,035
43359,42;2018-09-16;10:00:00;2018-09-16 10:00;0;4,387;6,5;110;0,018
43359,46;2018-09-16;11:00:00;2018-09-16 11:00;0;4,396;6,5;110;0,027
43359,50;2018-09-16;12:00:00;2018-09-16 12:00;0;4,382;6,5;110;0,013
43359,54;2018-09-16;13:00:00;2018-09-16 13:00;0;4,405;6,5;110;0,036
43359,58;2018-09-16;14:00:00;2018-09-16 14:00;0;4,4;6,5;110;0,031
43359,63;2018-09-16;15:00:00;2018-09-16 15:00;0;4,407;6,5;110;0,038
43359,67;2018-09-16;16:00:00;2018-09-16 16:00;0;4,41;6,5;110;0,041
43359,71;2018-09-16;17:00:00;2018-09-16 17:00;0;4,393;6,5;110;0,024
43359,75;2018-09-16;18:00:00;2018-09-16 18:00;0;4,392;6,5;110;0,023
43359,79;2018-09-16;19:00:00;2018-09-16 19:00;0;4,405;6,5;110;0,036
43359,83;2018-09-16;20:00:00;2018-09-16 20:00;0;4,404;6,5;110;0,035
43359,88;2018-09-16;21:00:00;2018-09-16 21:00;0;4,393;6,5;110;0,024
43359,92;2018-09-16;22:00:00;2018-09-16 22:00;0;4,415;6,5;110;0,046
43359,96;2018-09-16;23:00:00;2018-09-16 23:00;0;4,392;6,5;110;0,023
43360,00;2018-09-17;00:00:00;2018-09-17 00:00;0;4,408;6,5;110;0,039
43360,04;2018-09-17;01:00:00;2018-09-17 01:00;0;4,4;6,5;110;0,031
43360,08;2018-09-17;02:00:00;2018-09-17 02:00;0;4,415;6,5;110;0,046
43360,13;2018-09-17;03:00:00;2018-09-17 03:00;0;4,395;6,5;111;0,026
43360,17;2018-09-17;04:00:00;2018-09-17 04:00;0;4,42;6,5;110;0,051
43360,21;2018-09-17;05:00:00;2018-09-17 05:00;0;4,397;6,5;110;0,028
43360,25;2018-09-17;06:00:00;2018-09-17 06:00;0;4,414;6,5;110;0,045
43360,29;2018-09-17;07:00:00;2018-09-17 07:00;0;4,402;6,5;110;0,033
43360,33;2018-09-17;08:00:00;2018-09-17 08:00;0;4,396;6,5;110;0,027
43360,38;2018-09-17;09:00:00;2018-09-17 09:00;0;4,409;6,5;110;0,04
43360,42;2018-09-17;10:00:00;2018-09-17 10:00;0;4,403;6,5;110;0,034
43360,46;2018-09-17;11:00:00;2018-09-17 11:00;0;4,393;6,5;110;0,024
43360,50;2018-09-17;12:00:00;2018-09-17 12:00;0;4,418;6,5;110;0,049
43360,54;2018-09-17;13:00:00;2018-09-17 13:00;0;4,421;6,5;110;0,052
43360,58;2018-09-17;14:00:00;2018-09-17 14:00;0;4,388;6,5;110;0,019
43360,63;2018-09-17;15:00:00;2018-09-17 15:00;0;4,393;6,5;110;0,024
43360,67;2018-09-17;16:00:00;2018-09-17 16:00;0;4,41;6,5;110;0,041
43360,71;2018-09-17;17:00:00;2018-09-17 17:00;0;4,399;6,5;110;0,03
43360,75;2018-09-17;18:00:00;2018-09-17 18:00;0;4,396;6,5;110;0,027
43360,79;2018-09-17;19:00:00;2018-09-17 19:00;0;4,41;6,5;110;0,041
43360,83;2018-09-17;20:00:00;2018-09-17 20:00;0;4,416;6,5;110;0,047
43360,88;2018-09-17;21:00:00;2018-09-17 21:00;0;4,412;6,5;110;0,043
43360,92;2018-09-17;22:00:00;2018-09-17 22:00;0;4,392;6,5;110;0,023
43360,96;2018-09-17;23:00:00;2018-09-17 23:00;0;4,396;6,5;110;0,027
43361,00;2018-09-18;00:00:00;2018-09-18 00:00;0;4,398;6,5;110;0,029
43361,04;2018-09-18;01:00:00;2018-09-18 01:00;0;4,38;6,5;110;0,011
43361,08;2018-09-18;02:00:00;2018-09-18 02:00;0;4,413;6,5;110;0,044
43361,13;2018-09-18;03:00:00;2018-09-18 03:00;0;4,397;6,5;110;0,028
43361,17;2018-09-18;04:00:00;2018-09-18 04:00;0;4,428;6,5;110;0,059
43361,21;2018-09-18;05:00:00;2018-09-18 05:00;0;4,4;6,5;110;0,031
43361,25;2018-09-18;06:00:00;2018-09-18 06:00;0;4,409;6,5;110;0,04
43361,29;2018-09-18;07:00:00;2018-09-18 07:00;0;4,399;6,5;110;0,03
43361,33;2018-09-18;08:00:00;2018-09-18 08:00;0;4,4;6,5;110;0,031
43361,38;2018-09-18;09:00:00;2018-09-18 09:00;0;4,423;6,5;110;0,054
43361,42;2018-09-18;10:00:00;2018-09-18 10:00;0;4,408;6,5;110;0,039
43361,46;2018-09-18;11:00:00;2018-09-18 11:00;0;4,426;6,5;110;0,057
43361,50;2018-09-18;12:00:00;2018-09-18 12:00;0;4,42;6,5;110;0,051
43361,54;2018-09-18;13:00:00;2018-09-18 13:00;0;4,414;6,5;110;0,045
43361,58;2018-09-18;14:00:00;2018-09-18 14:00;0;4,398;6,5;110;0,029
43361,63;2018-09-18;15:00:00;2018-09-18 15:00;0;4,412;6,5;110;0,043
43361,67;2018-09-18;16:00:00;2018-09-18 16:00;0;4,422;6,5;110;0,053
43361,71;2018-09-18;17:00:00;2018-09-18 17:00;0;4,417;6,5;110;0,048
43361,75;2018-09-18;18:00:00;2018-09-18 18:00;0;4,395;6,5;110;0,026
43361,79;2018-09-18;19:00:00;2018-09-18 19:00;0;4,399;6,5;110;0,03
43361,83;2018-09-18;20:00:00;2018-09-18 20:00;0;4,412;6,5;110;0,043
43361,88;2018-09-18;21:00:00;2018-09-18 21:00;0;4,397;6,6;110;0,028
43361,92;2018-09-18;22:00:00;2018-09-18 22:00;0;4,407;6,6;110;0,038
43361,96;2018-09-18;23:00:00;2018-09-18 23:00;0;4,413;6,6;110;0,044
43362,00;2018-09-19;00:00:00;2018-09-19 00:00;0;4,414;6,5;110;0,045
43362,04;2018-09-19;01:00:00;2018-09-19 01:00;0;4,413;6,5;110;0,044
43362,08;2018-09-19;02:00:00;2018-09-19 02:00;0;4,419;6,5;110;0,05
43362,13;2018-09-19;03:00:00;2018-09-19 03:00;0;4,407;6,6;110;0,038
43362,17;2018-09-19;04:00:00;2018-09-19 04:00;0;4,41;6,5;110;0,041
43362,21;2018-09-19;05:00:00;2018-09-19 05:00;0;4,406;6,6;110;0,037
43362,25;2018-09-19;06:00:00;2018-09-19 06:00;0;4,395;6,5;110;0,026
43362,29;2018-09-19;07:00:00;2018-09-19 07:00;0;4,382;6,6;110;0,013
43362,33;2018-09-19;08:00:00;2018-09-19 08:00;0;4,407;6,6;110;0,038
43362,38;2018-09-19;09:00:00;2018-09-19 09:00;0;4,402;6,5;110;0,033
43362,42;2018-09-19;10:00:00;2018-09-19 10:00;0;4,406;6,5;110;0,037
43362,46;2018-09-19;11:00:00;2018-09-19 11:00;0;4,406;6,5;110;0,037
43362,50;2018-09-19;12:00:00;2018-09-19 12:00;0;4,423;6,6;110;0,054
43362,54;2018-09-19;13:00:00;2018-09-19 13:00;0;4,417;6,6;110;0,048
43362,58;2018-09-19;14:00:00;2018-09-19 14:00;0;4,429;6,6;110;0,06
43362,63;2018-09-19;15:00:00;2018-09-19 15:00;0;4,393;6,5;110;0,024
