Timestamp;Date;Time;Date_time;ms;LEVEL;TEMPERATURE;CONDUCTIVITY;relative level
43356,50;2018-09-13;12:00:00;2018-09-13 12:00;0;;16,6;0;
43356,54;2018-09-13;13:00:00;2018-09-13 13:00;0;6,674;6,7;24;0
43356,58;2018-09-13;14:00:00;2018-09-13 14:00;0;6,675;6,7;24;0,001
43356,63;2018-09-13;15:00:00;2018-09-13 15:00;0;6,677;6,7;24;0,003
43356,67;2018-09-13;16:00:00;2018-09-13 16:00;0;6,679;6,7;24;0,005
43356,71;2018-09-13;17:00:00;2018-09-13 17:00;0;6,678;6,7;24;0,004
43356,75;2018-09-13;18:00:00;2018-09-13 18:00;0;6,679;6,7;24;0,005
43356,79;2018-09-13;19:00:00;2018-09-13 19:00;0;6,678;6,7;24;0,004
43356,83;2018-09-13;20:00:00;2018-09-13 20:00;0;6,679;6,7;24;0,005
43356,88;2018-09-13;21:00:00;2018-09-13 21:00;0;6,679;6,7;24;0,005
43356,92;2018-09-13;22:00:00;2018-09-13 22:00;0;6,68;6,7;24;0,006
43356,96;2018-09-13;23:00:00;2018-09-13 23:00;0;6,681;6,7;24;0,007
43357,00;2018-09-14;00:00:00;2018-09-14 00:00;0;6,679;6,7;24;0,005
43357,04;2018-09-14;01:00:00;2018-09-14 01:00;0;6,68;6,7;24;0,006
43357,08;2018-09-14;02:00:00;2018-09-14 02:00;0;6,683;6,7;24;0,009
43357,13;2018-09-14;03:00:00;2018-09-14 03:00;0;6,681;6,7;24;0,007
43357,17;2018-09-14;04:00:00;2018-09-14 04:00;0;6,684;6,7;24;0,01
43357,21;2018-09-14;05:00:00;2018-09-14 05:00;0;6,683;6,7;24;0,009
43357,25;2018-09-14;06:00:00;2018-09-14 06:00;0;6,679;6,7;24;0,005
43357,29;2018-09-14;07:00:00;2018-09-14 07:00;0;6,683;6,7;24;0,009
43357,33;2018-09-14;08:00:00;2018-09-14 08:00;0;6,684;6,7;24;0,01
43357,38;2018-09-14;09:00:00;2018-09-14 09:00;0;6,688;6,7;24;0,014
43357,42;2018-09-14;10:00:00;2018-09-14 10:00;0;6,686;6,7;24;0,012
43357,46;2018-09-14;11:00:00;2018-09-14 11:00;0;6,689;6,7;24;0,015
43357,50;2018-09-14;12:00:00;2018-09-14 12:00;0;6,688;6,7;24;0,014
43357,54;2018-09-14;13:00:00;2018-09-14 13:00;0;6,69;6,7;24;0,016
43357,58;2018-09-14;14:00:00;2018-09-14 14:00;0;6,689;6,7;24;0,015
43357,63;2018-09-14;15:00:00;2018-09-14 15:00;0;6,694;6,7;24;0,02
43357,67;2018-09-14;16:00:00;2018-09-14 16:00;0;6,687;6,7;24;0,013
43357,71;2018-09-14;17:00:00;2018-09-14 17:00;0;6,688;6,7;24;0,014
43357,75;2018-09-14;18:00:00;2018-09-14 18:00;0;6,688;6,7;24;0,014
43357,79;2018-09-14;19:00:00;2018-09-14 19:00;0;6,693;6,7;24;0,019
43357,83;2018-09-14;20:00:00;2018-09-14 20:00;0;6,687;6,7;24;0,013
43357,88;2018-09-14;21:00:00;2018-09-14 21:00;0;6,689;6,7;24;0,015
43357,92;2018-09-14;22:00:00;2018-09-14 22:00;0;6,691;6,7;24;0,017
43357,96;2018-09-14;23:00:00;2018-09-14 23:00;0;6,694;6,7;24;0,02
43358,00;2018-09-15;00:00:00;2018-09-15 00:00;0;6,688;6,7;24;0,014
43358,04;2018-09-15;01:00:00;2018-09-15 01:00;0;6,689;6,7;24;0,015
43358,08;2018-09-15;02:00:00;2018-09-15 02:00;0;6,69;6,7;24;0,016
43358,13;2018-09-15;03:00:00;2018-09-15 03:00;0;6,693;6,7;24;0,019
43358,17;2018-09-15;04:00:00;2018-09-15 04:00;0;6,694;6,7;24;0,02
43358,21;2018-09-15;05:00:00;2018-09-15 05:00;0;6,694;6,7;24;0,02
43358,25;2018-09-15;06:00:00;2018-09-15 06:00;0;6,695;6,7;24;0,021
43358,29;2018-09-15;07:00:00;2018-09-15 07:00;0;6,693;6,7;24;0,019
43358,33;2018-09-15;08:00:00;2018-09-15 08:00;0;6,692;6,7;24;0,018
43358,38;2018-09-15;09:00:00;2018-09-15 09:00;0;6,696;6,7;24;0,022
43358,42;2018-09-15;10:00:00;2018-09-15 10:00;0;6,697;6,7;24;0,023
43358,46;2018-09-15;11:00:00;2018-09-15 11:00;0;6,697;6,7;24;0,023
43358,50;2018-09-15;12:00:00;2018-09-15 12:00;0;6,697;6,7;24;0,023
43358,54;2018-09-15;13:00:00;2018-09-15 13:00;0;6,699;6,7;24;0,025
43358,58;2018-09-15;14:00:00;2018-09-15 14:00;0;6,698;6,7;24;0,024
43358,63;2018-09-15;15:00:00;2018-09-15 15:00;0;6,697;6,7;24;0,023
43358,67;2018-09-15;16:00:00;2018-09-15 16:00;0;6,696;6,7;24;0,022
43358,71;2018-09-15;17:00:00;2018-09-15 17:00;0;6,698;6,7;24;0,024
43358,75;2018-09-15;18:00:00;2018-09-15 18:00;0;6,698;6,7;24;0,024
43358,79;2018-09-15;19:00:00;2018-09-15 19:00;0;6,694;6,7;24;0,02
43358,83;2018-09-15;20:00:00;2018-09-15 20:00;0;6,697;6,7;24;0,023
43358,88;2018-09-15;21:00:00;2018-09-15 21:00;0;6,703;6,7;24;0,029
43358,92;2018-09-15;22:00:00;2018-09-15 22:00;0;6,7;6,7;24;0,026
43358,96;2018-09-15;23:00:00;2018-09-15 23:00;0;6,702;6,7;24;0,028
43359,00;2018-09-16;00:00:00;2018-09-16 00:00;0;6,703;6,7;24;0,029
43359,04;2018-09-16;01:00:00;2018-09-16 01:00;0;6,701;6,7;24;0,027
43359,08;2018-09-16;02:00:00;2018-09-16 02:00;0;6,703;6,7;24;0,029
43359,13;2018-09-16;03:00:00;2018-09-16 03:00;0;6,703;6,7;24;0,029
43359,17;2018-09-16;04:00:00;2018-09-16 04:00;0;6,708;6,7;24;0,034
43359,21;2018-09-16;05:00:00;2018-09-16 05:00;0;6,705;6,7;24;0,031
43359,25;2018-09-16;06:00:00;2018-09-16 06:00;0;6,708;6,7;24;0,034
43359,29;2018-09-16;07:00:00;2018-09-16 07:00;0;6,705;6,7;24;0,031
43359,33;2018-09-16;08:00:00;2018-09-16 08:00;0;6,708;6,7;24;0,034
43359,38;2018-09-16;09:00:00;2018-09-16 09:00;0;6,704;6,7;24;0,03
43359,42;2018-09-16;10:00:00;2018-09-16 10:00;0;6,709;6,7;24;0,035
43359,46;2018-09-16;11:00:00;2018-09-16 11:00;0;6,708;6,7;24;0,034
43359,50;2018-09-16;12:00:00;2018-09-16 12:00;0;6,708;6,7;24;0,034
43359,54;2018-09-16;13:00:00;2018-09-16 13:00;0;6,703;6,7;24;0,029
43359,58;2018-09-16;14:00:00;2018-09-16 14:00;0;6,71;6,7;24;0,036
43359,63;2018-09-16;15:00:00;2018-09-16 15:00;0;6,711;6,7;24;0,037
43359,67;2018-09-16;16:00:00;2018-09-16 16:00;0;6,708;6,7;24;0,034
43359,71;2018-09-16;17:00:00;2018-09-16 17:00;0;6,707;6,7;24;0,033
43359,75;2018-09-16;18:00:00;2018-09-16 18:00;0;6,71;6,7;24;0,036
43359,79;2018-09-16;19:00:00;2018-09-16 19:00;0;6,709;6,7;24;0,035
43359,83;2018-09-16;20:00:00;2018-09-16 20:00;0;6,712;6,7;24;0,038
43359,88;2018-09-16;21:00:00;2018-09-16 21:00;0;6,709;6,7;24;0,035
43359,92;2018-09-16;22:00:00;2018-09-16 22:00;0;6,707;6,7;24;0,033
43359,96;2018-09-16;23:00:00;2018-09-16 23:00;0;6,708;6,7;24;0,034
43360,00;2018-09-17;00:00:00;2018-09-17 00:00;0;6,712;6,7;24;0,038
43360,04;2018-09-17;01:00:00;2018-09-17 01:00;0;6,71;6,7;24;0,036
43360,08;2018-09-17;02:00:00;2018-09-17 02:00;0;6,711;6,7;24;0,037
43360,13;2018-09-17;03:00:00;2018-09-17 03:00;0;6,715;6,7;24;0,041
43360,17;2018-09-17;04:00:00;2018-09-17 04:00;0;6,714;6,7;24;0,04
43360,21;2018-09-17;05:00:00;2018-09-17 05:00;0;6,713;6,7;24;0,039
43360,25;2018-09-17;06:00:00;2018-09-17 06:00;0;6,71;6,7;24;0,036
43360,29;2018-09-17;07:00:00;2018-09-17 07:00;0;6,71;6,7;24;0,036
43360,33;2018-09-17;08:00:00;2018-09-17 08:00;0;6,71;6,7;24;0,036
43360,38;2018-09-17;09:00:00;2018-09-17 09:00;0;6,715;6,7;24;0,041
