Område- och stationsnummer;Stationens namn;Datum för mätning;Grundvattennivå (cm u. röröverkant);Grundvattennivå (m ö.h.);Grundvattennivå (m under markyta);Startdatum för mätning;Slutdatum för mätning;Jordart;Akvifertyp;Topografiskt läge;Referensnivå för röröverkant (m ö.h.);Rörhöjd ovan mark (m);Total rörlängd (m);Metod för mätning;Kommunkod;EUCD för grundvattenförekomst;N;E;Nivåmätningskvalitet
15_9;Herrljunga_9;1971-12-31 00:00;218.00;145.44;1.08;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-01-16 00:00;234.00;145.28;1.24;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-01-30 00:00;252.00;145.10;1.42;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-02-15 00:00;241.00;145.21;1.31;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-03-01 00:00;250.00;145.12;1.40;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-03-15 00:00;262.00;145.00;1.52;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-04-03 00:00;202.00;145.60;0.92;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-04-16 00:00;205.00;145.57;0.95;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-04-30 00:00;225.00;145.37;1.15;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-05-14 00:00;250.00;145.12;1.40;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-06-02 00:00;229.00;145.33;1.19;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-06-15 00:00;247.00;145.15;1.37;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-06-29 00:00;270.00;144.92;1.60;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-07-18 00:00;240.00;145.22;1.30;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-07-31 00:00;200.00;145.62;0.90;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-08-11 00:00;216.00;145.46;1.06;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-08-18 00:00;228.00;145.34;1.18;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-09-06 00:00;265.00;144.97;1.55;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-09-17 00:00;278.00;144.84;1.68;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-10-03 00:00;303.00;144.59;1.93;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-10-17 00:00;318.00;144.44;2.08;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-11-14 00:00;349.00;144.13;2.39;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-12-03 00:00;202.00;145.60;0.92;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1972-12-18 00:00;188.00;145.74;0.78;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-01-01 00:00;220.00;145.42;1.10;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-02-01 00:00;239.00;145.23;1.29;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-02-15 00:00;212.00;145.50;1.02;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-03-02 00:00;213.00;145.49;1.03;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-03-15 00:00;226.00;145.36;1.16;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-04-07 00:00;233.00;145.29;1.23;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-04-15 00:00;235.00;145.27;1.25;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-05-03 00:00;242.00;145.20;1.32;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-05-15 00:00;243.00;145.19;1.33;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-06-07 00:00;272.00;144.90;1.62;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-06-15 00:00;300.00;144.62;1.90;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-07-02 00:00;335.00;144.27;2.25;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-07-15 00:00;353.00;144.09;2.43;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-07-31 00:00;365.00;143.97;2.55;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-08-15 00:00;375.00;143.87;2.65;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-09-02 00:00;384.00;143.78;2.74;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-09-15 00:00;398.00;143.64;2.88;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-10-02 00:00;390.00;143.72;2.80;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-11-01 00:00;395.00;143.67;2.85;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-11-15 00:00;380.00;143.82;2.70;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-12-01 00:00;323.00;144.39;2.13;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1973-12-31 00:00;245.00;145.17;1.35;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-01-31 00:00;217.00;145.45;1.07;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-02-17 00:00;207.00;145.55;0.97;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-03-01 00:00;224.00;145.38;1.14;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-03-17 00:00;233.00;145.29;1.23;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-04-03 00:00;232.00;145.30;1.22;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-04-17 00:00;252.00;145.10;1.42;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-05-03 00:00;275.00;144.87;1.65;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-05-16 00:00;300.00;144.62;1.90;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-06-01 00:00;328.00;144.34;2.18;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-06-15 00:00;345.00;144.17;2.35;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-07-01 00:00;355.00;144.07;2.45;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-07-19 00:00;377.00;143.85;2.67;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-08-01 00:00;380.00;143.82;2.70;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-08-17 00:00;390.00;143.72;2.80;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-08-31 00:00;397.00;143.65;2.87;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-09-15 00:00;397.00;143.65;2.87;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-09-19 00:00;393.00;143.69;2.83;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-10-01 00:00;280.00;144.82;1.70;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-10-15 00:00;246.00;145.16;1.36;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-11-01 00:00;227.00;145.35;1.17;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-11-15 00:00;202.00;145.60;0.92;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-12-03 00:00;209.00;145.53;0.99;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1974-12-15 00:00;198.00;145.64;0.88;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1975-01-01 00:00;203.00;145.59;0.93;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1975-01-15 00:00;163.00;145.99;0.53;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1975-02-01 00:00;176.00;145.86;0.66;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1975-02-16 00:00;215.00;145.47;1.05;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1975-03-01 00:00;230.00;145.32;1.20;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1975-03-18 00:00;236.00;145.26;1.26;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1975-04-15 00:00;225.00;145.37;1.15;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1975-05-03 00:00;243.00;145.19;1.33;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1975-05-17 00:00;258.00;145.04;1.48;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1975-06-02 00:00;295.00;144.67;1.85;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
