Timestamp;Date;Time;Date_time;ms;LEVEL;TEMPERATURE;CONDUCTIVITY;relative level
43356,50;2018-09-13;12:00:00;2018-09-13 12:00;0;;;;
43356,54;2018-09-13;13:00:00;2018-09-13 13:00;0;0,444;7,7;48;0
43356,58;2018-09-13;14:00:00;2018-09-13 14:00;0;0,443;7,7;48;-0,001
43356,63;2018-09-13;15:00:00;2018-09-13 15:00;0;0,437;7,6;49;-0,007
43356,67;2018-09-13;16:00:00;2018-09-13 16:00;0;0,445;7,6;50;0,001
43356,71;2018-09-13;17:00:00;2018-09-13 17:00;0;0,446;7,6;50;0,002
43356,75;2018-09-13;18:00:00;2018-09-13 18:00;0;0,445;7,6;50;0,001
43356,79;2018-09-13;19:00:00;2018-09-13 19:00;0;0,444;7,6;49;0
43356,83;2018-09-13;20:00:00;2018-09-13 20:00;0;0,443;7,6;49;-0,001
43356,88;2018-09-13;21:00:00;2018-09-13 21:00;0;0,443;7,6;49;-0,001
43356,92;2018-09-13;22:00:00;2018-09-13 22:00;0;0,45;7,6;49;0,006
43356,96;2018-09-13;23:00:00;2018-09-13 23:00;0;0,451;7,6;49;0,007
43357,00;2018-09-14;00:00:00;2018-09-14 00:00;0;0,451;7,6;49;0,007
43357,04;2018-09-14;01:00:00;2018-09-14 01:00;0;0,444;7,6;49;0
43357,08;2018-09-14;02:00:00;2018-09-14 02:00;0;0,449;7,6;49;0,005
43357,13;2018-09-14;03:00:00;2018-09-14 03:00;0;0,447;7,6;49;0,003
43357,17;2018-09-14;04:00:00;2018-09-14 04:00;0;0,452;7,6;48;0,008
43357,21;2018-09-14;05:00:00;2018-09-14 05:00;0;0,449;7,6;49;0,005
43357,25;2018-09-14;06:00:00;2018-09-14 06:00;0;0,451;7,6;48;0,007
43357,29;2018-09-14;07:00:00;2018-09-14 07:00;0;0,447;7,6;49;0,003
43357,33;2018-09-14;08:00:00;2018-09-14 08:00;0;0,45;7,6;49;0,006
43357,38;2018-09-14;09:00:00;2018-09-14 09:00;0;0,452;7,6;49;0,008
43357,42;2018-09-14;10:00:00;2018-09-14 10:00;0;0,454;7,6;48;0,01
43357,46;2018-09-14;11:00:00;2018-09-14 11:00;0;0,453;7,6;49;0,009
43357,50;2018-09-14;12:00:00;2018-09-14 12:00;0;0,458;7,6;49;0,014
43357,54;2018-09-14;13:00:00;2018-09-14 13:00;0;0,452;7,6;48;0,008
43357,58;2018-09-14;14:00:00;2018-09-14 14:00;0;0,453;7,6;48;0,009
43357,63;2018-09-14;15:00:00;2018-09-14 15:00;0;0,45;7,6;48;0,006
43357,67;2018-09-14;16:00:00;2018-09-14 16:00;0;0,453;7,6;48;0,009
43357,71;2018-09-14;17:00:00;2018-09-14 17:00;0;0,446;7,6;48;0,002
43357,75;2018-09-14;18:00:00;2018-09-14 18:00;0;0,458;7,6;48;0,014
43357,79;2018-09-14;19:00:00;2018-09-14 19:00;0;0,457;7,6;48;0,013
43357,83;2018-09-14;20:00:00;2018-09-14 20:00;0;0,453;7,6;48;0,009
43357,88;2018-09-14;21:00:00;2018-09-14 21:00;0;0,457;7,7;48;0,013
43357,92;2018-09-14;22:00:00;2018-09-14 22:00;0;0,455;7,7;49;0,011
43357,96;2018-09-14;23:00:00;2018-09-14 23:00;0;0,458;7,7;48;0,014
43358,00;2018-09-15;00:00:00;2018-09-15 00:00;0;0,456;7,7;48;0,012
43358,04;2018-09-15;01:00:00;2018-09-15 01:00;0;0,455;7,7;48;0,011
43358,08;2018-09-15;02:00:00;2018-09-15 02:00;0;0,458;7,7;48;0,014
43358,13;2018-09-15;03:00:00;2018-09-15 03:00;0;0,457;7,7;48;0,013
43358,17;2018-09-15;04:00:00;2018-09-15 04:00;0;0,458;7,7;48;0,014
43358,21;2018-09-15;05:00:00;2018-09-15 05:00;0;0,456;7,7;48;0,012
43358,25;2018-09-15;06:00:00;2018-09-15 06:00;0;0,455;7,7;48;0,011
43358,29;2018-09-15;07:00:00;2018-09-15 07:00;0;0,455;7,7;48;0,011
43358,33;2018-09-15;08:00:00;2018-09-15 08:00;0;0,456;7,7;48;0,012
43358,38;2018-09-15;09:00:00;2018-09-15 09:00;0;0,456;7,7;48;0,012
43358,42;2018-09-15;10:00:00;2018-09-15 10:00;0;0,461;7,7;48;0,017
43358,46;2018-09-15;11:00:00;2018-09-15 11:00;0;0,463;7,7;48;0,019
